timestamp,country,product_type,event_type,hs_code,details
2025-07-22 15:55:10,australia,knitted t-shirt T-Shirts,regeneration,,
2025-07-22 16:00:00,australia,knitted tights Tights,regeneration,,
2025-07-22 16:01:03,australia,woven jacket Winter Jackets,regeneration,,
2025-07-22 16:01:52,australia,knitted crop top Crop Tops,regeneration,,
2025-07-22 16:02:22,,,no_code_found,NO-CODE-FOUND,
2025-07-22 16:02:22,,,no_code_found,NO-CODE-FOUND,
2025-07-22 16:02:22,,,no_code_found,NO-CODE-FOUND,
2025-07-22 16:02:32,australia,knitted crop top Crop Tops,regeneration,,
2025-07-22 16:02:44,,,no_code_found,NO-CODE-FOUND,
2025-07-22 16:02:44,,,no_code_found,NO-CODE-FOUND,
2025-07-22 16:02:44,,,no_code_found,NO-CODE-FOUND,
2025-07-22 16:03:53,australia,knitted crop top Crop Tops,regeneration,,
2025-07-22 16:07:04,australia,knitted tank Short Sleeves,regeneration,,
2025-07-22 16:07:26,australia,knitted tank Short Sleeves,regeneration,,
2025-07-22 16:07:26,australia,knitted tank Short Sleeves,regeneration,,
2025-07-23 10:01:58,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:01:58,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:01:58,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:01:58,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:01:58,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:02:01,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:02:04,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:02:14,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:02:14,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:02:14,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:09:38,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:09:38,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:09:49,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:10:09,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:12:01,norway,knitted t-shirt Short Sleeves,regeneration,,
2025-07-23 10:12:14,norway,knitted t-shirt Short Sleeves,rejection,6106.20.00,option_1
2025-07-23 10:12:16,norway,knitted t-shirt Short Sleeves,rejection,6114.30.00,option_3
2025-07-23 10:12:30,norway,knitted tank Tanks,rejection,6109.90.00,option_1
2025-07-23 10:12:39,norway,knitted crop top Crop Tops,regeneration,,
2025-07-23 10:12:46,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:12:50,norway,knitted crop top Crop Tops,rejection,6110.30.00,option_1
2025-07-23 10:12:55,norway,knitted crop top Crop Tops,rejection,NO-CODE-FOUND,option_3
2025-07-23 10:14:35,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:35,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:35,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:36,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:36,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:38,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:39,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:48,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:48,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:14:48,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:22:28,united states,bra Bras,regeneration,,
2025-07-23 10:22:40,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:22:40,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:22:40,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:22:44,united states,bra Bras,regeneration,,
2025-07-23 10:22:56,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:22:56,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:22:56,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:23:11,united states,bra Bras,regeneration,,
2025-07-23 10:23:21,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:23:21,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:23:21,,,no_code_found,NO-CODE-FOUND,
2025-07-23 10:38:02,united states,knitted sweatshirt Hoodies & Sweatshirts,regeneration,,
2025-07-23 10:38:36,united states,knitted sweatshirt Hoodies & Sweatshirts,regeneration,,
2025-07-23 10:46:14,united states,knitted sweatshirt Hoodies & Sweatshirts,regeneration,,
2025-07-23 11:54:43,united states,knitted sweatshirt Hoodies & Sweatshirts,rejection,6110.20.20.46,option_1
2025-07-23 11:54:53,united states,knitted sweatshirt Hoodies & Sweatshirts,rejection,6114.90.90.73,option_3
2025-07-23 14:30:33,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:30:33,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:30:34,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:30:34,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:30:37,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:30:37,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:30:42,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:31:05,united states,bra Bras,regeneration,,
2025-07-23 14:31:20,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:31:20,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:31:20,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:53:50,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:53:50,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:53:53,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:53:53,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:53:59,,,no_code_found,NO-CODE-FOUND,
2025-07-23 14:53:59,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:12,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:12,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:12,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:15,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:15,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:15,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:15,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:16,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:03:16,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:51,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:51,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:51,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:51,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:51,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:51,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:52,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:52,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:53,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:16:53,,,no_code_found,NO-CODE-FOUND,
2025-07-23 15:24:31,,,no_code_found,NO-CODE-FOUND,
